Time,sources.ramp.height,sources.ramp.duration,sources.ramp.y,sources.ramp.offset,sources.ramp.startTime,sources.sine.amplitude,sources.sine.f,sources.sine.phase,sources.sine.y,sources.sine.offset,sources.sine.startTime,sources.freq_output,sources.ramp_output,sources.sine1.amplitude,sources.sine1.f,sources.sine1.phase,sources.sine1.y,sources.sine1.offset,sources.sine1.startTime,sources.ramp1.height,sources.ramp1.duration,sources.ramp1.y,sources.ramp1.offset,sources.ramp1.startTime,sources.multiSum.significantDigits,sources.multiSum.u[1],sources.multiSum.u[2],sources.multiSum.y,sources.multiSum.k[1],sources.multiSum.k[2],sources.ramp_freq_output,sources.f,LET1.output_1,LET1.input_1,LET1.fixedDelay.u,LET1.fixedDelay.y,LET1.fixedDelay.delayTime,LET1.delayTime,C1.output_1,C1.input_1,C1.fixedDelay.u,C1.fixedDelay.y,C1.fixedDelay.delayTime,C1.delayTime,LET2.output_1,LET2.input_1,LET2.fixedDelay.u,LET2.fixedDelay.y,LET2.fixedDelay.delayTime,LET2.delayTime,C2.output_1,C2.input_1,C2.fixedDelay.u,C2.fixedDelay.y,C2.fixedDelay.delayTime,C2.delayTime,LET3.output_1,LET3.input_1,LET3.fixedDelay.u,LET3.fixedDelay.y,LET3.fixedDelay.delayTime,LET3.delayTime,C3.output_1,C3.input_1,C3.fixedDelay.u,C3.fixedDelay.y,C3.fixedDelay.delayTime,C3.delayTime,LET4.output_1,LET4.input_1,LET4.fixedDelay.u,LET4.fixedDelay.y,LET4.fixedDelay.delayTime,LET4.delayTime,C4.output_1,C4.input_1,C4.fixedDelay.u,C4.fixedDelay.y,C4.fixedDelay.delayTime,C4.delayTime,LET5.output_1,LET5.input_1,LET5.fixedDelay.u,LET5.fixedDelay.y,LET5.fixedDelay.delayTime,LET5.delayTime
0,5,5,1,1,1,1,10,0,0,0,0,0,1,1,1,0,0,0,0,5,5,1,1,1,3,0,1,1,1,1,1,10,0,0,0,0,0.003,0.003,0,0,0,0,0.001,0.001,0,0,0,0,0.002,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.001,5,5,1,1,1,1,10,0,0.06279052,0,0,0.06279052,1,1,1,0,0.006283144,0,0,5,5,1,1,1,3,0.006283144,1,1.0062832,1,1,1.0062832,10,0,0.06279052,0.06279052,0,0.003,0.003,0,0,0,0,0.001,0.001,0,0,0,0,0.002,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.002,5,5,1,1,1,1,10,0,0.12533323,0,0,0.12533323,1,1,1,0,0.01256604,0,0,5,5,1,1,1,3,0.01256604,1,1.0125661,1,1,1.0125661,10,0,0.12533323,0.12533323,0,0.003,0.003,0,0,0,0,0.001,0.001,0,0,0,0,0.002,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.003,5,5,1,1,1,1,10,0,0.18738131,0,0,0.18738131,1,1,1,0,0.01884844,0,0,5,5,1,1,1,3,0.01884844,1,1.0188484,1,1,1.0188484,10,0,0.18738131,0.18738131,0,0.003,0.003,0,0,0,0,0.001,0.001,0,0,0,0,0.002,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.004,5,5,1,1,1,1,10,0,0.24868989,0,0,0.24868989,1,1,1,0,0.025130095,0,0,5,5,1,1,1,3,0.025130095,1,1.0251302,1,1,1.0251302,10,0.06279052,0.24868989,0.24868989,0.06279052,0.003,0.003,0,0.06279052,0.06279052,0,0.001,0.001,0,0,0,0,0.002,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.005,5,5,1,1,1,1,10,0,0.309017,0,0,0.309017,1,1,1,0,0.031410757,0,0,5,5,1,1,1,3,0.031410757,1,1.0314108,1,1,1.0314108,10,0.12533323,0.309017,0.309017,0.12533323,0.003,0.003,0.06279052,0.12533323,0.12533323,0.06279052,0.001,0.001,0,0.06279052,0.06279052,0,0.002,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.006,5,5,1,1,1,1,10,0,0.36812454,0,0,0.36812454,1,1,1,0,0.03769018,0,0,5,5,1,1,1,3,0.03769018,1,1.0376902,1,1,1.0376902,10,0.18738131,0.36812454,0.36812454,0.18738131,0.003,0.003,0.12533323,0.18738131,0.18738131,0.12533323,0.001,0.001,0,0.12533323,0.12533323,0,0.002,0.002,0,0,0,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.007,5,5,1,1,1,1,10,0,0.42577928,0,0,0.42577928,1,1,1,0,0.04396812,0,0,5,5,1,1,1,3,0.04396812,1,1.0439681,1,1,1.0439681,10,0.24868989,0.42577928,0.42577928,0.24868989,0.003,0.003,0.18738131,0.24868989,0.24868989,0.18738131,0.001,0.001,0.06279052,0.18738131,0.18738131,0.06279052,0.002,0.002,0,0.06279052,0.06279052,0,0.001,0.001,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.008,5,5,1,1,1,1,10,0,0.48175368,0,0,0.48175368,1,1,1,0,0.050244316,0,0,5,5,1,1,1,3,0.050244316,1,1.0502443,1,1,1.0502443,10,0.309017,0.48175368,0.48175368,0.309017,0.003,0.003,0.24868989,0.309017,0.309017,0.24868989,0.001,0.001,0.12533323,0.24868989,0.24868989,0.12533323,0.002,0.002,0.06279052,0.12533323,0.12533323,0.06279052,0.001,0.001,0,0.06279052,0.06279052,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.009,5,5,1,1,1,1,10,0,0.5358268,0,0,0.5358268,1,1,1,0,0.056518536,0,0,5,5,1,1,1,3,0.056518536,1,1.0565186,1,1,1.0565186,10,0.36812454,0.5358268,0.5358268,0.36812454,0.003,0.003,0.309017,0.36812454,0.36812454,0.309017,0.001,0.001,0.18738131,0.309017,0.309017,0.18738131,0.002,0.002,0.12533323,0.18738131,0.18738131,0.12533323,0.001,0.001,0,0.12533323,0.12533323,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
