time,Alt,Mach,Weight_On_Nose_Wheels,Aircraft_state,heat_load
0.0,0.0,0.0,1,0,50
1.0,33.333333333333336,0.004,1,0,50
2.0,66.66666666666667,0.008,1,0,50
3.0,100.0,0.012,1,0,50
4.0,133.33333333333334,0.016,1,0,50
5.0,166.66666666666669,0.02,1,0,50
6.0,200.0,0.024,1,0,50
7.0,233.33333333333331,0.028,1,0,50
8.0,266.6666666666667,0.032,1,0,50
9.0,300.0,0.036,1,0,50
10.0,333.33333333333337,0.04,1,0,50
11.0,366.6666666666667,0.044,1,0,50
12.0,400.0,0.048,1,0,50
13.0,433.33333333333337,0.052,1,0,50
14.0,466.6666666666667,0.056,1,0,50
15.0,500.00000000000006,0.06,1,0,50
16.0,533.3333333333334,0.064,1,0,50
17.0,566.6666666666667,0.068,1,0,50
18.0,600.0,0.072,1,0,50
19.0,633.3333333333334,0.076,1,0,50
20.0,666.6666666666667,0.08,1,0,50
21.0,700.0,0.084,1,0,50
22.0,733.3333333333334,0.088,1,0,50
23.0,766.6666666666667,0.092,1,0,50
24.0,800.0,0.096,1,0,50
25.0,833.3333333333334,0.1,1,0,50
26.0,866.6666666666667,0.104,1,0,50
27.0,900.0000000000001,0.108,1,0,50
28.0,933.3333333333334,0.112,1,0,50
29.0,966.6666666666669,0.116,1,0,50
30.0,1000.0,0.12,1,0,50
31.0,1033.3333333333337,0.124,1,0,50
32.0,1066.6666666666667,0.128,1,0,50
33.0,1100.0,0.132,1,0,50
34.0,1133.3333333333337,0.136,1,0,50
35.0,1166.6666666666667,0.14,1,0,50
36.0,1200.0,0.144,1,0,50
37.0,1233.3333333333337,0.148,1,0,50
38.0,1266.6666666666667,0.152,1,0,50
39.0,1300.0,0.156,1,0,50
40.0,1333.3333333333337,0.16,1,0,50
41.0,1366.6666666666667,0.164,1,0,50
42.0,1400.0,0.168,1,0,50
43.0,1433.3333333333337,0.172,1,0,50
44.0,1466.6666666666667,0.176,1,0,50
45.0,1500.0,0.18,1,0,50
46.0,1533.3333333333337,0.184,1,0,50
47.0,1566.6666666666667,0.188,1,0,50
48.0,1600.0,0.192,1,0,50
49.0,1633.3333333333337,0.196,1,0,50
50.0,1666.6666666666667,0.2,1,0,50
51.0,1700.0000000000002,0.204,1,0,50
52.0,1733.3333333333337,0.208,1,0,50
53.0,1766.6666666666667,0.212,1,0,50
54.0,1800.0000000000002,0.216,1,0,50
55.0,1833.3333333333333,0.22,1,0,50
56.0,1866.6666666666667,0.224,1,0,50
57.0,1900.0,0.228,1,0,50
58.0,1933.3333333333333,0.232,1,0,50
59.0,1966.6666666666667,0.236,1,0,50
60.0,2000.0,0.24,1,0,50
61.0,2033.3333333333333,0.244,1,0,50
62.0,2066.666666666667,0.248,1,0,50
63.0,2100.0,0.252,1,0,50
64.0,2133.333333333333,0.256,1,0,50
65.0,2166.666666666667,0.26,1,0,50
66.0,2200.0,0.264,1,0,50
67.0,2233.333333333333,0.268,1,0,50
68.0,2266.666666666667,0.272,1,0,50
69.0,2300.0,0.276,1,0,50
70.0,2333.333333333333,0.28,1,0,50
71.0,2366.666666666667,0.284,1,0,50
72.0,2400.0,0.288,1,0,50
73.0,2433.333333333333,0.292,1,0,50
74.0,2466.666666666667,0.296,1,0,50
75.0,2500.0,0.3,1,0,50
76.0,2533.333333333333,0.304,1,0,50
77.0,2566.666666666667,0.308,1,0,50
78.0,2600.0,0.312,1,0,50
79.0,2633.333333333333,0.316,1,0,50
80.0,2666.666666666667,0.32,1,0,50
81.0,2700.0,0.324,1,0,50
82.0,2733.333333333333,0.328,1,0,50
83.0,2766.666666666667,0.332,1,0,50
84.0,2800.0,0.336,1,0,50
85.0,2833.333333333333,0.34,1,0,50
86.0,2866.666666666667,0.344,1,0,50
87.0,2900.0,0.348,1,0,50
88.0,2933.333333333333,0.352,1,0,50
89.0,2966.666666666667,0.356,1,0,50
90.0,3000.0,0.36,1,0,50
91.0,3033.333333333333,0.364,1,0,50
92.0,3066.666666666667,0.368,1,0,50
93.0,3100.0,0.372,1,0,50
94.0,3133.333333333333,0.376,1,0,50
95.0,3166.666666666667,0.38,1,0,50
96.0,3200.0,0.384,1,0,50
97.0,3233.333333333333,0.388,1,0,50
98.0,3266.666666666667,0.392,1,0,50
99.0,3300.0000000000005,0.396,1,0,50
100.0,3333.333333333333,0.4,1,0,50
101.0,3366.666666666667,0.404,1,0,50
102.0,3400.0000000000005,0.408,1,0,50
103.0,3433.333333333333,0.412,1,0,50
104.0,3466.666666666667,0.416,1,0,50
105.0,3500.0000000000005,0.42,1,0,50
106.0,3533.333333333333,0.424,1,0,50
107.0,3566.666666666667,0.428,1,0,50
108.0,3600.0000000000005,0.432,1,0,50
109.0,3633.3333333333335,0.436,1,0,50
110.0,3666.666666666667,0.44,1,0,50
111.0,3700.000000000001,0.444,1,0,50
112.0,3733.3333333333335,0.448,1,0,50
113.0,3766.666666666667,0.452,1,0,50
114.0,3800.000000000001,0.456,1,0,50
115.0,3833.3333333333335,0.46,1,0,50
116.0,3866.666666666667,0.464,1,0,50
117.0,3900.000000000001,0.468,1,0,50
118.0,3933.3333333333335,0.472,1,0,50
119.0,3966.666666666667,0.476,1,0,50
120.0,4000.000000000001,0.48,1,0,50
121.0,4033.3333333333335,0.484,1,0,50
