time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
0.0,0.299340327,152214.355204,252214.35520400002,298.15,273.0,0.1
1.0,0.386812005,152034.997455,300886.019668,297.709752738,274.14474605,0.161855678189
2.0,0.451557702,152452.666457,406815.160838,297.395742119,290.48966046,0.217825008948
3.01,0.508432407,152544.64740899997,480338.35733299993,297.310258336,294.574110171,0.268949428972
4.02,0.568101592,152573.536225,518119.41823199997,297.280279954,295.872608718,0.315162490712
5.03,0.631082288,152584.98504990002,542332.4547709001,297.278467137,296.336029504,0.356935914353
6.04,0.695375594,152592.87405749998,559343.2454825,297.2932774,296.575042744,0.394696377342
7.05,0.759482221,152600.6285372,571681.4226522,297.321509287,296.761954667,0.428829300371
8.06,0.822044505,152608.69197530003,580753.8464743,297.362000931,296.932314902,0.459683188547
9.07,0.876124901,152617.0165417,587468.7726926999,297.413784776,297.093474327,0.487573044125
10.08,0.932642266,152625.50950559997,592452.8325676,297.47580133,297.247976301,0.512783605865
11.09,0.994015612,152634.125001,596152.278941,297.546926767,297.397315663,0.535572256646
12.1,1.059007328,152642.9290682,598892.3011802,297.626029559,297.542646671,0.556171675941
13.11,1.125276375,152651.8546956,600911.4148506001,297.71200705,297.684746488,0.574792171313
14.12,1.197255331,152660.91917950002,602387.3921975,297.80381477,297.824294647,0.591623848603
15.13,1.271676327,152670.08506810002,603453.0093091,297.900478222,297.961642669,0.606838525769
16.13,1.349383465,152679.3007751,604201.8656311,298.000090046,298.095866329,0.620462140561
17.13,1.433724253,152688.5668315,604719.2963995,298.102789293,298.228387518,0.632789296938
18.13,1.536409742,152697.8572275,605060.9589215,298.207856155,298.359347933,0.643943368026
19.13,1.602579069,152707.0670191,605269.0996041,298.314638165,298.488706561,0.654035966731
20.13,1.659036994,152716.2346932,605376.0787992,298.422552031,298.616465074,0.663168131906
21.13,1.71271262,152725.4750159,605406.4746539,298.531076659,298.742704932,0.671431222216
22.13,1.761888334,152734.7379957,605379.1223337,298.639749775,298.867192366,0.678908029971
23.13,1.811818488,152743.92622959998,605308.4154126,298.748156873,298.989845742,0.685673324971
24.13,1.861864263,152753.0070164,605205.4304924001,298.855929561,299.110595467,0.691794803417
25.13,1.909100407,152761.96088009997,605078.7240921,298.962742885,299.229273494,0.697387527999
26.13,1.954164301,152770.8253041,604934.7330981,299.068524619,299.345979982,0.706607433706
27.13,1.998902405,152779.60618410003,604778.1275440999,299.173799548,299.460953401,0.721610941688
28.13,2.04426534,152788.4111065,604611.9982495001,299.279179471,299.574912036,0.741848817139
29.13,2.090556074,152797.1811643,604438.5124962999,299.385258023,299.688269861,0.766821518168
30.13,2.139771478,152806.0525171,604258.9494111,299.492613622,299.80172788,0.79608014948
